Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets,Post_Time
10.5,58.33,180,Hóc Môn,Thới Tam Thôn,1,1,9,2,0,24/12/2025,1,12/24/2025
6.15,82,75,Quận 12,Tân Chánh Hiệp,4,0,5,3,1,24/12/2025,4,12/24/2025
6.9,135.29,51,Nhà Bè,Nhà Bè,4,0,5,3.5,1,24/12/2025,5,12/24/2025
14.95,186.88,80,Tân Bình,5,6,0,3.9,5,1,24/12/2025,7,12/24/2025
6.7,62.62,107,Nhà Bè,Nhà Bè,6,0,4.1,2,1,24/12/2025,5,12/24/2025
5.5,105.77,52,Quận 9,Long Trường,3,0,4,3.5,1,24/12/2025,2,12/24/2025
17,128.79,132,Thủ Đức,Bình Thọ,3,0,7.2,2,1,24/12/2025,3,12/24/2025
11.5,63.54,181,Thủ Đức,Hiệp Bình Phước,15,0,5,4.5,1,24/12/2025,15,12/24/2025
3.95,98.75,40,Thủ Đức,Linh Xuân,2,0,4.5,2,1,24/12/2025,2,12/24/2025
8.6,148.28,58,Tân Bình,1,2,0,3.5,2,1,24/12/2025,2,12/24/2025
5.2,86.67,60,Quận 7,Tân Thuận Đông,3,0,4,1,1,24/12/2025,3,12/24/2025
5.2,86.67,60,Quận 7,Tân Thuận Đông,3,0,4,1,1,24/12/2025,3,12/24/2025
14.9,135.45,110,Nhà Bè,Nhà Bè,4,1,6,3,0,24/12/2025,5,12/24/2025
4.5,45.92,98,Hóc Môn,Tân Xuân,2,1,5,4,0,24/12/2025,1,12/24/2025
13.2,165,80,Quận 8,4,2,1,3,4,0,24/12/2025,2,12/24/2025
5.95,148.75,40,Quận 8,3,4,0,4.7,3.5,1,24/12/2025,3,12/24/2025
4,100,40,Gò Vấp,16,2,0,6,2,1,24/12/2025,2,12/24/2025
24.9,136.07,183,Quận 12,Trung Mỹ Tây,1,1,9,1,0,24/12/2025,1,12/24/2025
6.69,90.41,74,Quận 12,Tân Chánh Hiệp,4,1,4,4.5,0,24/12/2025,4,12/24/2025
6.9,81.18,85,Quận 8,4,3,1,4,3,0,24/12/2025,4,12/24/2025
4.28,178.33,24,Phú Nhuận,5,2,0,4,4,1,24/12/2025,3,12/24/2025
4.28,178.33,24,Phú Nhuận,5,2,0,4,4,1,24/12/2025,3,12/24/2025
32,262.3,122,Quận 10,2,9,1,11,5,0,24/12/2025,9,12/24/2025
24.9,92.22,270,Quận 12,Trung Mỹ Tây,1,1,13,1,0,24/12/2025,1,12/24/2025
11.79,83.03,142,Hóc Môn,Hóc Môn,2,1,4.3,1,0,24/12/2025,2,12/24/2025
6.5,89.04,73,Gò Vấp,4,2,0,4,1,1,24/12/2025,1,12/24/2025
16.8,18.18,924,Hóc Môn,Bà Điểm,3,0,21,1,1,24/12/2025,3,12/24/2025
7.18,107.16,67,Gò Vấp,1,4,0,4.5,4,1,24/12/2025,4,12/24/2025
8.5,223.68,38,Quận 1,Cầu Ông Lãnh,5,0,7,1,1,24/12/2025,5,12/24/2025
14,70,200,Hóc Môn,Hóc Môn,2,1,8,1,0,24/12/2025,1,12/24/2025
