Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
7.2,194.59,37.0,quan-1,Đakao,2,0,4.0,1.0,1,30/03/2025,3
86.0,472.53,182.0,quan-5,3,4,1,9.5,4.0,0,24/04/2024,4
11.8,147.5,80.0,quan-6,10,4,1,4.0,4.0,0,27/08/2025,3
17.9,298.33,60.0,quan-1,Bến Thành,12,0,4.0,1.0,1,29/05/2024,12
49.0,288.24,170.0,quan-5,6,8,0,6.0,5.0,1,29/05/2024,8
1.68,34.29,49.0,quan-5,14,2,0,4.0,1.0,1,04/04/2024,2
16.5,122.22,135.0,quan-6,9,5,1,5.0,4.0,0,26/06/2025,4
60.0,375.0,160.0,quan-1,NTB,2,0,8.9,1.0,1,05/11/2025,2
15.4,192.5,80.0,quan-4,4,3,1,4.0,1.0,0,11/03/2024,3
6.499,57.01,114.0,quan-4,6,3,0,6.0,2.0,1,11/03/2024,3
73.9,492.67,150.0,quan-5,6,10,0,8.0,1.0,1,09/07/2024,12
1.995,15.83,126.0,quan-2,An Phú,5,0,7.0,1.0,1,25/03/2024,5
31.0,476.92,65.0,quan-1,Cô Giang,1,0,4.1,1.0,1,05/11/2025,3
10.0,108.7,92.0,quan-8,4,9,0,4.0,1.0,1,27/05/2024,9
18.0,225.0,80.0,quan-5,1,4,1,6.0,1.0,0,04/05/2024,4
2.37,44.72,53.0,quan-1,Nguyễn Cư Trinh,4,0,3.5,4.0,1,31/03/2024,5
1.95,48.75,40.0,quan-4,2,5,0,4.0,1.0,1,01/04/2024,4
1.685,51.06,33.0,quan-4,10,2,0,3.0,1.0,1,01/04/2024,2
10.6,135.9,78.0,quan-6,10,5,1,4.0,5.0,0,27/08/2025,4
17.5,109.38,160.0,quan-8,4,5,0,8.0,4.0,1,16/06/2024,5
1.82,37.92,48.0,quan-5,2,2,0,6.0,2.0,1,30/03/2024,2
1.15,26.14,44.0,quan-4,4,0,0,3.4,1.0,1,06/04/2024,0
110.0,555.56,198.0,quan-3,06,7,0,11.0,1.0,1,05/11/2025,7
