Price_Billion,Area_m2,District,Ward,Floors,Bedrooms,Toilets,Post_Time
6.9,40,Quận 7,Phường Tân Hưng,4,4,5,31/12/2025
6,101,Quận Gò Vấp,Phường 5,3,0,0,31/12/2025
3.7,36,Quận Gò Vấp,Phường 3,2,2,3,31/12/2025
5.6,54,Quận 10,Phường 12,1,0,0,31/12/2025
13.5,64,Quận 8,Phường 6,4,5,6,31/12/2025
11.4,87,Quận Tân Bình,Phường 2,3,0,0,31/12/2025
5.6,48,Quận Phú Nhuận,Phường 5,4,0,0,31/12/2025
3.8,30,Quận Gò Vấp,Phường 7,4,0,0,31/12/2025
2.8,24,Quận Phú Nhuận,Phường 15,5,2,0,31/12/2025
2.55,24,Quận Gò Vấp,Phường 1,1,0,0,31/12/2025
5.9,72,Quận 7,Phường Phú Thuận,1,0,0,31/12/2025
4.45,39,Quận 10,Phường 14,1,0,0,31/12/2025
8.2,81,Quận Tân Bình,Phường 3,1,0,0,31/12/2025
5.95,48,Quận Bình Thạnh,Phường 11,4,0,0,31/12/2025
9,138,Quận 8,Phường 5,1,0,0,31/12/2025
6.9,56,Quận Tân Phú,Phường Phú Thọ Hòa,1,0,0,31/12/2025
6.7,63,Quận Tân Phú,Phường Tân Quý,2,0,0,31/12/2025
6.8,62,Quận Tân Phú,Phường Tân Quý,2,0,0,31/12/2025
6.7,68,Quận Bình Tân,Phường Bình Hưng Hòa,3,4,5,31/12/2025
4.7,40,Quận Tân Phú,Phường Phú Thọ Hòa,3,2,1,31/12/2025
6.9,59,Quận Tân Phú,Phường Sơn Kỳ,2,0,0,31/12/2025
5.1,44,Quận Tân Phú,Phường Tân Quý,3,0,0,31/12/2025
5.6,25,Quận Tân Phú,Phường Tân Sơn Nhì,3,3,0,31/12/2025
5.8,74,Quận Bình Tân,Phường Bình Hưng Hòa,2,2,0,31/12/2025
3.9,43,Quận Bình Tân,Phường Bình Hưng Hòa,6,2,0,31/12/2025
4.9,45,Quận Tân Phú,Phường Sơn Kỳ,2,2,0,31/12/2025
7.1,75,Quận Bình Tân,Phường Bình Hưng Hòa A,3,4,5,31/12/2025
7.2,52,Quận Bình Tân,Phường Bình Hưng Hòa A,4,4,0,31/12/2025
6.5,64,Quận Bình Tân,Phường Bình Hưng Hòa B,3,9,0,31/12/2025
4.7,56,Quận Tân Phú,Phường Phú Thạnh,1,6,0,31/12/2025
6.4,70,Quận Bình Tân,Phường Bình Hưng Hòa B,1,6,0,31/12/2025
5.8,50,Quận Bình Tân,Phường Bình Hưng Hòa A,5,4,0,31/12/2025
4.6,40,Quận Bình Tân,Phường Bình Hưng Hòa A,1,2,2,31/12/2025
7.2,48,Quận Tân Phú,Phường Tân Sơn Nhì,1,5,0,31/12/2025
5.5,60,Quận Bình Tân,Phường Bình Hưng Hòa B,1,5,0,31/12/2025
4.3,41,Quận Bình Tân,Phường Bình Trị Đông,1,2,0,31/12/2025
4.6,45,Quận Bình Tân,Phường Bình Hưng Hòa A,1,3,0,31/12/2025
4.5,48,Quận Bình Tân,Phường Bình Hưng Hòa A,3,2,0,31/12/2025
4.7,53,Quận Bình Thạnh,Phường 5,1,3,2,31/12/2025
7,80,Quận Tân Phú,Phường Tân Quý,1,0,0,31/12/2025
4.4,40,Quận Tân Phú,Phường Tân Quý,1,2,2,31/12/2025
7.6,60,Quận Tân Phú,Phường Phú Thạnh,5,0,0,31/12/2025
4.8,55,Quận Tân Phú,Phường Tân Quý,5,0,0,31/12/2025
6.6,48,Quận Bình Tân,Phường Bình Trị Đông,2,0,0,31/12/2025
6.1,55,Quận Bình Tân,Phường Bình Hưng Hòa,1,0,0,31/12/2025
6.5,44,Quận Bình Tân,Phường Bình Trị Đông,3,0,0,31/12/2025
6.6,67,Quận Bình Tân,Phường Bình Trị Đông A,3,2,2,31/12/2025
6.1,40,Quận Bình Tân,Phường Bình Trị Đông,2,0,0,31/12/2025
5.9,61,Quận Tân Phú,Phường Tây Thạnh,4,0,0,31/12/2025
5.6,40,Quận Bình Tân,Phường Bình Hưng Hòa A,4,4,0,31/12/2025
4.8,48,Quận Bình Tân,Phường Bình Hưng Hòa,4,2,0,31/12/2025
5.98,65,Quận Bình Tân,Phường Bình Hưng Hòa,4,3,3,31/12/2025
5.5,67,Quận Bình Tân,Phường Bình Hưng Hòa A,2,0,0,31/12/2025
5.15,52,Quận Bình Tân,Phường Bình Trị Đông A,4,0,0,31/12/2025
4.68,43,Quận Bình Tân,Phường Bình Hưng Hòa A,1,0,0,31/12/2025
3.98,39,Quận Bình Tân,Phường Bình Hưng Hòa,2,2,2,31/12/2025
6.6,71,Quận Tân Phú,Phường Phú Thạnh,1,3,0,31/12/2025
5,56,Quận Bình Tân,Phường Bình Hưng Hòa A,2,0,0,31/12/2025
8.75,73,Quận Tân Phú,Phường Sơn Kỳ,1,4,5,31/12/2025
6.65,91,Quận Gò Vấp,Phường 8,4,0,0,31/12/2025
5.9,56,Quận Bình Tân,Phường Bình Hưng Hòa,3,0,0,31/12/2025
5.9,56,Quận Bình Tân,Phường Bình Trị Đông,5,0,0,31/12/2025
8,56,Quận Tân Phú,Phường Sơn Kỳ,2,0,0,31/12/2025
8.3,80,Quận Tân Phú,Phường Hiệp Tân,1,0,0,31/12/2025
4.5,48,Quận Bình Tân,Phường Bình Hưng Hòa A,2,2,0,31/12/2025
4.2,32,Quận Tân Phú,Phường Phú Thọ Hòa,4,0,0,31/12/2025
5.3,72,Quận Bình Tân,Phường Bình Hưng Hòa,1,0,0,31/12/2025
4.4,42,Quận Tân Phú,Phường Tân Sơn Nhì,3,0,0,31/12/2025
6.4,56,Quận Tân Phú,Phường Tây Thạnh,1,0,0,31/12/2025
4.9,53,Quận Tân Phú,Phường Sơn Kỳ,3,2,0,31/12/2025
4.3,48,Quận Bình Tân,Phường Bình Hưng Hòa B,3,0,0,31/12/2025
3.3,49,Quận Bình Tân,Phường Bình Hưng Hòa B,1,2,0,31/12/2025
7.2,57,Quận Tân Phú,Phường Tân Quý,2,0,0,31/12/2025
5.7,40,Quận Tân Phú,Phường Tân Quý,3,0,0,31/12/2025
4.8,44,Quận Tân Phú,Phường Tân Quý,3,0,0,31/12/2025
4.7,46,Quận Bình Tân,Phường Bình Hưng Hòa,3,3,3,31/12/2025
6.6,50,Quận Bình Tân,Phường Bình Trị Đông A,3,0,0,31/12/2025
6,50,Quận Bình Tân,Phường Bình Trị Đông A,2,4,3,31/12/2025
6.5,74,Quận Bình Tân,Phường Bình Hưng Hòa A,4,0,0,31/12/2025
4.6,36,Quận Bình Tân,Phường Bình Hưng Hòa,2,3,0,31/12/2025
5.5,56,Quận Tân Phú,Phường Tây Thạnh,2,5,0,31/12/2025
6.2,65,Quận Tân Phú,Phường Phú Thạnh,4,4,0,31/12/2025
6.7,68,Quận Bình Tân,Phường Bình Hưng Hòa,1,4,5,31/12/2025
4.45,25,Quận Bình Tân,Phường Bình Hưng Hòa A,1,0,0,31/12/2025
6.3,57,Quận Bình Tân,Phường Bình Hưng Hòa,2,5,0,31/12/2025
9.7,78,Quận Bình Tân,Phường Bình Hưng Hòa A,3,0,0,31/12/2025
6.8,108,Quận Bình Tân,Phường Bình Hưng Hòa B,5,4,0,31/12/2025
