Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
16.5,157.14,105,Quận 8,10,1,1,5,2,0,27/08/2025,1
85,598.59,142,Quận 1,Phạm Ngũ Lão,10,1,7.5,6,0,2/9/2025,5
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
29,467.74,62,Quận 1,Tân Định,2,1,4.3,2,0,28/08/2025,2
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
19,172.73,110,Quận 11,8,4,1,7.4,3,0,27/08/2025,3
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
8.05,67.08,120,Quận 12,Trung Mỹ Tây,2,1,6,3,0,28/08/2025,2
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
2.8,84.85,33,Quận 12,Thạnh Lộc,5,0,3,4.5,1,4/8/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,23/08/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
22.5,351.56,64,Quận 5,12,2,1,4.05,2,0,28/08/2025,1
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
24,428.57,56,Quận 5,12,8,1,3.5,5,0,25/08/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
11,196.43,56,Quận 7,Tân Quy,7,1,5.4,3.5,0,25/08/2025,5
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
10,100,100,Quận 9,Tăng Nhơn Phú A,4,1,2,5.5,0,28/08/2025,5
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
18,305.08,59,Quận 10,2,1,1,6,5,0,22/08/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
18.5,272.06,68,Quận 3,6,4,1,7,3.5,0,22/08/2025,3
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
19,250,76,Quận 10,2,7,1,5.3,8,0,28/08/2025,0
25,490.2,51,Quận 5,9,6,1,3.7,4,0,1/9/2025,4
23,469.39,49,Quận 5,5,6,1,4.3,4,0,28/08/2025,4
45,505.62,89,Quận 1,Đa Kao,10,1,5.5,6,0,27/08/2025,6
16.5,305.56,54,Quận 10,2,0,0,24,4,1,31/08/2025,5
35,65.42,535,Quận 12,An Phú Đông,5,1,6,1,0,24/08/2025,3
32.5,515.87,63,Quận 3,9,6,1,4.5,7,0,30/08/2025,6
14.8,87.06,170,Quận 9,Phước Long A,6,0,5.5,4,1,24/08/2025,0
39.7,198.5,200,Quận 2,An Phú,1,1,10,2,0,27/08/2025,1
6.99,73.58,95,Quận 9,Hiệp Phú,2,1,6,5,0,4/9/2025,1
51,149.56,341,Quận 2,An Phú,10,1,15,6,0,27/08/2025,5
6.9,98.57,70,Quận 7,Bình Thuận,3,1,4,3.5,0,30/08/2025,0
25,490.2,51,Quận 5,9,6,1,3.7,4,0,27/08/2025,4
14.8,87.06,170,Quận 9,Phước Long A,7,1,5.5,4,0,24/08/2025,0
18,75,240,Quận 12,Đông Hưng Thuận,7,1,12,3.5,0,27/08/2025,0
4.1,85.42,48,Quận 12,Tân Thới Hiệp,3,1,4,4,0,26/08/2025,0
62,765.43,81,Quận 1,Cô Giang,8,1,4.4,8,0,1/9/2025,8
24,428.57,56,Quận 5,12,8,1,3.5,5,0,27/08/2025,6
6.99,73.58,95,Quận 9,Hiệp Phú,2,1,6,5,0,4/9/2025,1
23.5,373.02,63,Quận 3,9,6,1,4.5,7,0,26/08/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,27/08/2025,6
8.15,116.43,70,Quận 12,Tân Thới Nhất,4,0,4.2,5,1,26/08/2025,6
182,1936.17,94,Quận 1,Bến Nghé,10,1,4.2,6,0,2/9/2025,5
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
24,428.57,56,Quận 5,12,8,1,3.5,5,0,1/9/2025,6
2.95,73.75,40,Quận 12,Tân Chánh Hiệp,3,0,4,3,1,26/08/2025,2
25,490.2,51,Quận 5,9,6,1,3.7,4,0,25/08/2025,4
4.2,84,50,Quận 12,Thạnh Xuân,2,1,6,2,0,15/12/2025,0
4.88,36.42,134,Quận 8,5,3,0,2.86,2,1,16/12/2025,2
5,58.82,85,Quận 10,2,2,0,3,3,1,30/10/2025,3
5.85,97.5,60,Quận 12,Thới An,5,0,5,3.5,1,15/12/2025,0
5.3,66.25,80,Quận 12,Tân Thới Hiệp,3,0,8,3,1,15/12/2025,0
6.65,79.17,84,Quận 12,Hiệp Thành,4,0,4.63,3.5,1,15/12/2025,0
5.3,55.79,95,Quận 12,Tân Chánh Hiệp,2,0,5,2,1,16/12/2025,0
3.1,51.67,60,Quận 9,Long Thạnh Mỹ,3,0,6,2,1,30/07/2025,0
6.6,183.33,36,Quận 8,3,3,0,3.3,3.5,1,13/12/2025,3
1.7,42.5,40,Quận 4,8,2,0,20,2,1,28/07/2025,0
3.8,59.38,64,Quận 3,8,3,0,4,3.5,1,28/07/2025,4
5.4,117.39,46,Quận 8,2,2,0,7,2,1,16/12/2025,2
5.6,124.44,45,Quận 6,4,4,0,3,4,1,27/10/2025,3
12.8,228.57,56,Quận 1,Bến Thành,3,0,8,4,1,16/12/2025,4
7.9,202.56,39,Quận 10,2,3,0,3.3,5,1,27/11/2025,4
8.9,247.22,36,Quận 3,11,0,0,36,4,1,27/11/2025,3
4.58,91.6,50,Quận 12,Thới An,2,0,5,2.5,1,16/12/2025,2
14.5,219.7,66,Quận 10,4,6,0,4.1,4,1,24/11/2025,7
4.5,91.84,49,Quận 2,Cát Lái,2,0,3.5,2.5,1,11/8/2025,2
4.5,80.36,56,Quận 12,An Phú Đông,2,0,5.25,1,1,16/11/2025,1
6.6,97.06,68,Quận 1,Đa Kao,4,0,3.9,2,1,5/8/2025,2
11,101.85,108,Quận 4,4,3,0,4.8,1,1,15/12/2025,0
15.5,138.39,112,Quận 7,Tân Hưng,4,0,7,3,1,15/12/2025,0
7.4,217.65,34,Quận 1,Cô Giang,3,1,3.7,3,0,14/10/2025,0
4.5,63.38,71,Quận 2,Thạnh Mỹ Lợi,3,0,5.5,1,1,5/8/2025,2
6,200,30,Quận 10,2,3,0,3,4,1,14/10/2025,0
5.4,117.39,46,Quận 4,13,4,0,3.5,2,1,15/12/2025,0
1.8,54.55,33,Quận 2,Thạnh Mỹ Lợi,1,0,3,1,1,5/8/2025,1
12.3,68.33,180,Quận 4,13,5,0,40,5,1,15/12/2025,0
8.3,56.85,146,Quận 12,Thạnh Xuân,4,0,8,4.5,1,15/12/2025,5
5.6,107.69,52,Quận 12,Thạnh Xuân,3,0,7,3.5,1,15/12/2025,0
6.4,84.21,76,Quận 7,Bình Thuận,4,0,1,3,1,23/09/2025,3
9,225,40,Quận 10,2,7,0,3.5,5,1,17/09/2025,0
10.5,58.33,180,Quận 12,An Phú Đông,5,0,10,2,1,16/09/2025,3
14.3,124.35,115,Quận 9,Phước Long B,3,0,8,3,1,11/9/2025,4
5.8,148.72,39,Quận 8,4,3,0,6,4,1,14/11/2025,4
285,234.57,1215,Quận 2,Thảo Điền,6,0,33,3,1,22/08/2025,7
24.5,85.07,288,Quận 12,Thạnh Xuân,5,1,15,3,0,5/8/2025,6
