Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
10.9,81.34,134,Quận 4,4,3,0,8,1,1,29/12/2025,3
3.5,154.87,22.6,Quận 4,13,2,1,2,3.5,0,29/12/2025,2
6.6,129.41,51,Quận 4,2,3,0,3.8,1.5,1,29/12/2025,3
5.95,75.8,78.5,Quận 4,13,4,0,5,2,1,29/12/2025,4
1.78,28.71,62,Quận 4,4,3,0,4.5,2,1,29/12/2025,3
119,495.83,240,Quận 4,13,3,1,12,2,0,28/12/2025,3
13.7,206.33,66.4,Quận 4,13,2,1,4.29,2.5,0,28/12/2025,2
3.38,46.81,72.2,Quận 4,13,4,1,5,3,0,28/12/2025,4
13,146.07,89,Quận 4,15,4,1,4.5,4.5,0,28/12/2025,4
3.65,91.25,40,Quận 4,2,3,0,4,2,1,28/12/2025,3
4.3,101.18,42.5,Quận 4,14,2,1,1,2,0,28/12/2025,2
6.6,106.45,62,Quận 4,3,4,0,3.9,1,1,28/12/2025,4
7.79,111.29,70,Quận 4,18,3,0,5,1,1,28/12/2025,3
4.55,211.63,21.5,Quận 4,3,2,1,3,3,0,28/12/2025,2
16.5,220,75,Quận 4,1,3,1,20,1,0,28/12/2025,3
119,550.93,216,Quận 4,13,3,1,12,2,0,28/12/2025,3
6.3,150,42,Quận 4,4,5,0,3.2,4.5,1,28/12/2025,5
119,553.49,215,Quận 4,13,3,1,9,5,0,28/12/2025,3
120,480,250,Quận 4,13,3,1,8,5,0,28/12/2025,3
5,104.17,48,Quận 4,13,4,0,4,3.5,1,28/12/2025,4
4.3,204.76,21,Quận 4,13,2,0,3,3,1,28/12/2025,2
5.2,192.59,27,Quận 4,10,2,1,3,3.5,0,28/12/2025,2
8.3,122.06,68,Quận 4,13,4,1,6,3,0,28/12/2025,4
7.86,112.29,70,Quận 4,15,4,1,3.55,4,0,27/12/2025,4
3.59,49.04,73.2,Quận 4,8,3,0,5,3.5,1,27/12/2025,3
2.5,104.17,24,Quận 4,8,2,0,3,2,1,27/12/2025,2
3.5,106.06,33,Quận 4,8,3,0,3,3.5,1,27/12/2025,3
2.1,38.18,55,Quận 4,4,3,1,5,2,0,27/12/2025,3
7.8,115.73,67.4,Quận 4,4,4,1,6,2,0,27/12/2025,4
8.5,177.08,48,Quận 4,13,3,1,6.5,4.5,0,27/12/2025,3
1.9,38,50,Quận 4,13,2,1,4,2,0,27/12/2025,2
98,453.7,216,Quận 4,13,3,1,12,7,0,27/12/2025,3
7.99,114.14,70,Quận 4,15,3,1,3.6,3,0,27/12/2025,3
8.3,123.15,67.4,Quận 4,13,3,0,6,1,1,27/12/2025,3
