Price_Billion,Price_Per_m2,Area_m2,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Toilets,Dist_Bình Thạnh,Dist_Bình Tân,Dist_Cần Giờ,Dist_Củ Chi,Dist_Gò Vấp,Dist_Hóc Môn,Dist_Nhà Bè,Dist_Phú Nhuận,Dist_Quận 1,Dist_Quận 10,Dist_Quận 11,Dist_Quận 12,Dist_Quận 3,Dist_Quận 4,Dist_Quận 5,Dist_Quận 6,Dist_Quận 7,Dist_Quận 8,Dist_Thành phố Thủ Đức,Dist_Tân Bình,Dist_Tân Phú,Segment_Encoded
7.86,93.57,-0.11162558,-0.409561684,0,0.074849395,-1.313021214,1,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
2.98,80.54,-0.594152916,-0.409561684,1,-0.335531899,-0.631494056,0,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
6,75,-0.152691736,-0.409561684,1,-0.166551367,-1.313021214,0,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
6,69.77,-0.091092502,-0.853603968,1,-0.335531899,-0.631494056,0,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
7.6,84.44,-0.050026345,-0.853603968,0,2.971658528,-1.313021214,1,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
4.1,146.43,-0.686551768,0.0344806,0,-0.552792584,0.050033101,1,0.117074158,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
4.44,63.43,-0.255357127,0.0344806,1,-0.407952128,0.050033101,0,0.117074158,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3.3,132,-0.717351385,-0.853603968,0,-0.166551367,0.050033101,1,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
4.1,57.42,-0.240983972,0.0344806,0,-0.359671975,0.050033101,1,0.117074158,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
5.15,171.67,-0.66601869,-1.297646252,1,-0.45623228,-0.631494056,0,-1.191859677,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3.5,116.67,-0.66601869,-0.853603968,0,-0.649352889,-0.290730477,1,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
3.26,46.57,-0.255357127,0.0344806,0,-0.166551367,2.094614574,1,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
5.5,275,-0.768684081,-0.409561684,0,-0.57693266,0.731560259,1,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
5.7,196.55,-0.676285229,0.0344806,0,-0.615556782,0.39079668,1,0.117074158,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
3.5,70,-0.460687908,-0.409561684,1,-0.407952128,-0.631494056,0,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
5,125,-0.563353299,0.0344806,0,-0.649352889,0.39079668,1,0.117074158,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
6.9,160.47,-0.532553682,-0.409561684,1,-0.480372356,-0.290730477,0,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
16,290.91,-0.409355213,-0.409561684,1,-0.407952128,0.731560259,0,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
7.4,59.68,0.299035983,-0.409561684,1,1.040452439,-0.631494056,0,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2.15,39.09,-0.409355213,-0.409561684,0,-0.166551367,-1.313021214,1,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
5,98.04,-0.450421369,0.0344806,0,-0.407952128,-0.290730477,1,0.117074158,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
4.5,86.54,-0.44015483,-0.853603968,0,0.41281046,-0.290730477,1,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
7.6,95,-0.152691736,-0.409561684,1,-0.166551367,1.072323838,0,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2.79,45,-0.337489439,-0.409561684,0,-0.166551367,-1.313021214,1,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
5,127.23,-0.570539877,-0.409561684,1,-0.57693266,0.050033101,0,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
5.3,262.38,-0.766630773,-0.853603968,1,3.45446005,0.39079668,0,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
2.75,40.44,-0.275890205,0.478522884,0,-0.340359915,0.050033101,1,0.553385436,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
4.25,88.54,-0.481220987,-0.409561684,0,-0.407952128,0.050033101,1,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
6.34,152.4,-0.546926837,0.478522884,1,-0.601072737,0.731560259,0,0.553385436,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3.5,109.38,-0.645485612,-0.853603968,0,-0.407952128,-0.631494056,1,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
5.95,91.54,-0.306689822,-0.853603968,0,-0.166551367,0.39079668,1,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3,115.38,-0.707084846,-0.853603968,0,-0.166551367,0.050033101,1,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
3.9,139.29,-0.686551768,-0.853603968,0,-0.564862622,0.050033101,1,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
9.4,130.56,-0.234824049,-0.409561684,1,-0.166551367,-0.290730477,0,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1.99,142.14,-0.830283315,-0.853603968,0,-0.893167657,-0.631494056,1,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
5.7,183.87,-0.655752151,0.0344806,1,-0.615556782,0.39079668,0,0.117074158,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3.7,154.17,-0.727617924,-0.853603968,0,-0.649352889,0.050033101,1,-0.755548399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
4.95,126.92,-0.573619838,-0.409561684,0,-0.407952128,-0.631494056,1,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
4.35,192.48,-0.741991079,-0.409561684,1,-0.166551367,1.072323838,0,-0.31923712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
9.3,221.43,-0.542820221,0.478522884,0,4.661463855,-1.313021214,1,0.553385436,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
