Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets,Segment
4.7,195.83,24.0,Quận 4,10,4.0,0,3.0,4.0,1,24/12/2025,4.0,VIP
3.2,177.78,18.0,Quận 4,4,2.0,1,3.0,3.0,0,23/12/2025,2.0,Bình dân
5.8,79.67,72.8,Quận 4,13,2.0,1,5.0,1.0,0,23/12/2025,2.0,Bình dân
3.6,90.0,40.0,Quận 4,2,3.0,0,4.0,2.0,1,23/12/2025,3.0,Bình dân
83.0,290.21,286.0,Quận 4,13,3.0,1,15.0,4.0,0,23/12/2025,3.0,Cao cấp
2.8,100.0,28.0,Quận 4,8,2.0,0,4.0,2.0,1,23/12/2025,2.0,Trung cấp
5.79,148.46,39.0,Quận 4,9,2.0,0,6.9,2.0,1,23/12/2025,2.0,Cao cấp
5.0,250.0,20.0,Quận 4,9,3.0,0,4.23,4.0,1,23/12/2025,3.0,VIP
6.5,108.33,60.0,Quận 4,8,4.0,0,4.0,3.5,1,23/12/2025,4.0,Trung cấp
4.7,54.65,86.0,Quận 4,18,3.0,1,4.4,2.0,0,23/12/2025,3.0,Bình dân
8.53,177.71,48.0,Quận 4,4,4.0,0,6.5,5.0,1,23/12/2025,4.0,Cao cấp
7.3,152.08,48.0,Quận 4,14,4.0,1,4.2,4.0,0,23/12/2025,4.0,Bình dân
27.0,200.0,135.0,Quận 4,13,4.0,1,4.1,1.0,0,23/12/2025,4.0,Bình dân
6.2,266.09,23.3,Quận 4,10,3.0,0,3.0,4.0,1,23/12/2025,3.0,VIP
30.5,174.29,175.0,Quận 4,13,3.0,1,13.0,3.0,0,23/12/2025,4.0,Bình dân
6.6,347.37,19.0,Quận 4,13,3.0,1,4.6,5.0,0,22/12/2025,3.0,Cao cấp
4.6,65.71,70.0,Quận 4,1,3.0,0,4.5,1.0,1,22/12/2025,3.0,Bình dân
7.8,111.43,70.0,Quận 4,15,5.0,0,2.67,4.0,1,22/12/2025,5.0,Cao cấp
6.15,263.95,23.3,Quận 4,4,3.0,0,3.0,4.0,1,22/12/2025,3.0,VIP
6.0,111.11,54.0,Quận 4,13,4.0,1,4.5,3.5,0,22/12/2025,4.0,Bình dân
30.0,176.47,170.0,Quận 4,13,3.0,1,13.0,3.0,0,22/12/2025,3.0,Bình dân
4.19,62.54,67.0,Quận 4,1,3.0,0,5.0,3.0,1,22/12/2025,3.0,Bình dân
4.59,62.88,73.0,Quận 4,4,4.0,0,5.0,3.5,1,22/12/2025,4.0,Bình dân
8.3,123.15,67.4,Quận 4,4,3.0,1,6.0,1.0,0,22/12/2025,3.0,Bình dân
5.21,84.72,61.5,Quận 4,2,3.0,0,4.1,3.5,1,22/12/2025,3.0,Bình dân
6.15,263.95,23.3,Quận 4,13,3.0,1,3.0,4.0,0,22/12/2025,3.0,Cao cấp
4.7,195.83,24.0,Quận 4,10,3.0,1,3.0,7.0,0,22/12/2025,4.0,Bình dân
2.39,37.34,64.0,Quận 4,13,3.0,0,5.0,2.5,1,22/12/2025,3.0,Bình dân
3.5,106.06,33.0,Quận 4,10,2.0,0,3.0,2.0,1,22/12/2025,2.0,Trung cấp
3.95,96.34,41.0,Quận 4,13,3.0,0,3.5,3.5,1,22/12/2025,3.0,Trung cấp
6.8,272.0,25.0,Quận 4,13,3.0,1,4.0,5.0,0,22/12/2025,3.0,Cao cấp
4.8,73.85,65.0,Quận 4,4,3.0,0,5.0,1.0,1,22/12/2025,3.0,Bình dân
4.7,114.63,41.0,Quận 4,13,1.0,1,3.4,2.0,0,22/12/2025,1.0,Bình dân
8.0,152.38,52.5,Quận 4,16,4.0,0,3.6,4.0,1,22/12/2025,4.0,Cao cấp
8.5,177.08,48.0,Quận 4,13,5.0,1,4.0,3.5,0,22/12/2025,5.0,Bình dân
9.9,141.43,70.0,Quận 4,18,4.0,1,4.2,4.0,0,22/12/2025,4.0,Bình dân
8.0,250.0,32.0,Quận 4,4,2.0,1,3.5,2.0,0,22/12/2025,2.0,Trung cấp
5.0,104.17,48.0,Quận 4,13,4.0,0,4.0,3.5,1,22/12/2025,4.0,Trung cấp
4.2,59.66,70.4,Quận 4,13,3.0,0,4.0,4.5,1,21/12/2025,3.0,Bình dân
5.4,100.0,54.0,Quận 4,15,4.0,1,3.9,4.0,0,21/12/2025,4.0,Bình dân
